Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:56:34      05:56:34      05:56:34      255.000       250.665       0.0000
05:56:35      05:56:35      05:56:35      255.000       250.665       0.0000
05:56:36      05:56:36      05:56:36      255.000       250.662       0.0000
05:56:37      05:56:37      05:56:37      255.000       250.662       0.0000
05:56:38      05:56:38      05:56:38      255.001       250.660       0.0000
05:56:39      05:56:39      05:56:39      255.000       250.660       0.0000
05:56:40      05:56:40      05:56:40      255.000       250.659       0.0000
05:56:41      05:56:41      05:56:41      254.999       250.658       0.0000
05:56:42      05:56:42      05:56:42      255.000       250.659       0.0000
05:56:43      05:56:43      05:56:43      255.001       250.660       0.0000
05:56:44      05:56:44      05:56:44      255.001       250.661       0.0000
05:56:45      05:56:45      05:56:45      255.001       250.661       0.0000
05:56:46      05:56:46      05:56:46      255.001       250.659       0.0000
05:56:47      05:56:47      05:56:47      255.002       250.659       0.0000
05:56:49      05:56:49      05:56:49      255.003       250.658       0.0000
05:56:50      05:56:50      05:56:50      255.002       250.656       0.0000
05:56:51      05:56:51      05:56:51      255.002       250.657       0.0000
05:56:52      05:56:52      05:56:52      255.001       250.656       0.0000
05:56:53      05:56:53      05:56:53      255.001       250.657       0.0000
05:56:54      05:56:54      05:56:54      255.002       250.654       0.0000
05:56:55      05:56:55      05:56:55      255.002       250.658       0.0000
05:56:56      05:56:56      05:56:56      255.001       250.658       0.0000
05:56:57      05:56:57      05:56:57      255.001       250.657       0.0000
05:56:58      05:56:58      05:56:58      255.002       250.657       0.0000
05:56:59      05:56:59      05:56:59      255.001       250.656       0.0000
05:57:00      05:57:00      05:57:00      255.000       250.655       0.0000
